Offense Code,District,Frequency
2606,b2,1
2608,a15,4
2608,a7,1
2608,b2,2
2608,b3,1
2608,c11,3
2608,c6,10
2608,d4,4
2608,e13,2
2608,e18,7
2608,e5,2
2609,c6,1
2610,a1,845
2610,a15,39
2610,a7,102
2610,b2,627
2610,b3,161
2610,c11,285
2610,c6,203
2610,d14,115
2610,d4,566
2610,e13,162
2610,e18,82
2610,e5,58
2611,b2,4
2611,b3,2
2611,c6,1
2611,d4,3
2611,e18,1
2611,e5,1
2612,a1,22
2612,a15,5
2612,a7,8
2612,b2,22
2612,b3,13
2612,c11,6
2612,c6,5
2612,d14,17
2612,d4,12
2612,e13,7
2612,e18,5
2612,e5,4
2613,a1,7
2613,a15,3
2613,a7,5
2613,b2,8
2613,b3,6
2613,c11,6
2613,c6,3
2613,d14,6
2613,d4,8
2613,e13,4
2613,e18,3
2613,e5,5
2616,a1,36
2616,a15,3
2616,a7,10
2616,b2,32
2616,b3,10
2616,c11,29
2616,c6,17
2616,d14,7
2616,d4,58
2616,e13,14
2616,e18,5
2616,e5,5
2617,a1,2
2617,a15,1
2617,b2,1
2617,b3,3
2617,c11,6
2617,c6,1
2617,d14,1
2617,d4,1
2617,e5,3
2618,a7,2
2618,b2,4
2618,c6,2
2618,d4,1
2618,e18,4
2619,a1,45
2619,a15,5
2619,a7,6
2619,b2,30
2619,b3,24
2619,c11,30
2619,c6,24
2619,d14,6
2619,d4,29
2619,e13,8
2619,e18,5
2619,e5,4
2622,a1,2
2622,a15,2
2622,a7,1
2622,b2,10
2622,b3,9
2622,c11,9
2622,c6,2
2622,d14,3
2622,d4,1
2622,e13,3
2622,e18,5
2622,e5,1
2623,a1,9
2623,a15,2
2623,a7,6
2623,b2,7
2623,b3,12
2623,c11,10
2623,c6,2
2623,d14,9
2623,d4,9
2623,e13,6
2623,e18,4
2623,e5,4
2628,a1,3
2628,a15,1
2628,b2,1
2628,b3,5
2628,c6,5
2628,d14,8
2628,d4,4
2628,e13,1
2628,e18,1
2628,e5,2
2629,a1,276
2629,a15,82
2629,a7,202
2629,b2,700
2629,b3,538
2629,c11,443
2629,c6,279
2629,d14,291
2629,d4,386
2629,e13,205
2629,e18,365
2629,e5,230
2631,a7,1
2631,b2,1
2631,c11,2
2631,d14,3
2631,d4,2
2631,e13,1
2632,a1,70
2632,a15,7
2632,a7,17
2632,b2,48
2632,b3,44
2632,c11,36
2632,c6,28
2632,d14,48
2632,d4,62
2632,e13,15
2632,e18,19
2632,e5,13
2636,a15,3
2636,a7,2
2636,b2,1
2636,b3,2
2636,e13,1
2641,a1,5
2641,a7,1
2641,b2,5
