Offence Code,Day,Frequency
3130,saturday,84
3130,sunday,25
3130,thursday,190
3130,tuesday,158
3130,wednesday,183
315,tuesday,1
3160,friday,75
3160,monday,73
3160,saturday,73
3160,sunday,80
3160,thursday,73
3160,tuesday,83
3160,wednesday,68
3170,friday,48
3170,monday,44
3170,saturday,34
3170,sunday,34
3170,thursday,57
3170,tuesday,48
3170,wednesday,44
3201,friday,1481
3201,monday,1223
3201,saturday,1436
3201,sunday,1158
3201,thursday,1186
3201,tuesday,1243
3201,wednesday,1166
3202,friday,31
3202,monday,17
3202,saturday,46
3202,sunday,39
3202,thursday,36
3202,tuesday,28
3202,wednesday,30
3203,monday,1
3203,saturday,2
3203,sunday,4
3203,thursday,1
3203,wednesday,2
3205,friday,62
3205,monday,65
3205,saturday,59
3205,sunday,68
3205,thursday,85
3205,tuesday,67
3205,wednesday,87
3207,friday,543
3207,monday,520
3207,saturday,480
3207,sunday,472
3207,thursday,552
3207,tuesday,577
3207,wednesday,554
3208,friday,135
3208,monday,130
3208,saturday,120
3208,sunday,102
3208,thursday,124
3208,tuesday,115
3208,wednesday,132
3301,friday,1772
3301,monday,1925
3301,saturday,1912
3301,sunday,2007
3301,thursday,1896
3301,tuesday,1796
3301,wednesday,1791
3302,friday,4
3302,monday,2
3302,saturday,11
3302,sunday,3
3302,thursday,3
3302,tuesday,1
3302,wednesday,3
3303,friday,5
3303,monday,2
3303,saturday,17
3303,sunday,3
3303,thursday,1
3303,tuesday,1
3304,friday,114
3304,monday,40
3304,saturday,251
3304,sunday,163
3304,thursday,16
3304,tuesday,22
3304,wednesday,14
3305,friday,29
3305,monday,49
3305,saturday,43
3305,sunday,20
3305,thursday,37
3305,tuesday,41
3305,wednesday,60
334,friday,1
335,tuesday,1
338,tuesday,1
339,monday,1
339,saturday,1
339,tuesday,1
3402,friday,31
3402,monday,33
3402,saturday,54
3402,sunday,38
3402,thursday,30
3402,tuesday,47
3402,wednesday,52
3403,friday,3
3403,monday,4
3403,saturday,5
3403,sunday,6
3403,thursday,4
3403,tuesday,2
3403,wednesday,3
3410,friday,1599
3410,monday,1701
3410,saturday,1806
3410,sunday,1423
3410,thursday,1644
3410,tuesday,1658
3410,wednesday,1456
349,tuesday,1
3501,friday,678
3501,monday,537
3501,saturday,564
3501,sunday,464
3501,thursday,510
3501,tuesday,507
3501,wednesday,506
3502,friday,755
3502,monday,620
3502,saturday,652
3502,sunday,580
3502,thursday,564
3502,tuesday,592
3502,wednesday,602
3503,friday,91
3503,monday,95
3503,saturday,72
3503,sunday,57
3503,thursday,75
3503,tuesday,91
3503,wednesday,112
351,friday,37
351,monday,31
351,saturday,15
351,sunday,1
351,thursday,34
351,tuesday,39
351,wednesday,24
361,friday,95
361,monday,66
361,saturday,95
361,sunday,109
361,thursday,77
361,tuesday,99
361,wednesday,94
3620,friday,21
3620,monday,29
3620,saturday,8
3620,sunday,10
3620,thursday,31
3620,tuesday,37
3620,wednesday,30
3625,friday,42
3625,monday,61
3625,saturday,42
3625,sunday,28
3625,thursday,42
3625,tuesday,48
3625,wednesday,44
371,friday,15
371,monday,13
371,saturday,14
371,sunday,13
371,thursday,16
371,tuesday,14
371,wednesday,19
3801,friday,432
3801,monday,394
3801,saturday,489
3801,sunday,425
3801,thursday,407
3801,tuesday,380
3801,wednesday,398
3802,friday,1011
3802,monday,874
3802,saturday,1039
3802,sunday,933
3802,thursday,869
3802,tuesday,890
3802,wednesday,941
3803,friday,817
3803,monday,700
3803,saturday,728
3803,sunday,646
3803,thursday,784
3803,tuesday,775
3803,wednesday,681
3805,friday,114
3805,monday,119
3805,saturday,104
3805,sunday,73
3805,thursday,106
3805,tuesday,132
3805,wednesday,118
3807,friday,107
3807,monday,120
3807,saturday,74
3807,sunday,66
3807,thursday,133
3807,tuesday,111
3807,wednesday,121
381,friday,12
381,monday,10
381,saturday,11
381,sunday,12
381,thursday,14
381,tuesday,15
381,wednesday,12
3810,friday,156
3810,monday,136
3810,saturday,94
3810,sunday,57
3810,thursday,156
3810,tuesday,156
3810,wednesday,161
3811,friday,72
3811,monday,50
3811,saturday,47
3811,sunday,25
3811,thursday,71
3811,tuesday,81
3811,wednesday,80
3820,friday,275
3820,monday,247
3820,saturday,169
3820,sunday,138
3820,thursday,262
3820,tuesday,276
3820,wednesday,289
3821,friday,68
3821,monday,61
3821,saturday,35
3821,sunday,41
3821,thursday,63
3821,tuesday,66
3821,wednesday,80
3830,friday,202
3830,monday,174
3830,saturday,179
3830,sunday,180
3830,thursday,186
3830,tuesday,175
3830,wednesday,190
3831,friday,2598
3831,monday,2244
3831,saturday,2532
3831,sunday,2439
3831,thursday,2150
3831,tuesday,2168
3831,wednesday,2192
402,sunday,1
403,friday,3
403,saturday,1
403,sunday,1
403,tuesday,1
404,saturday,1
413,friday,696
413,monday,632
413,saturday,855
413,sunday,803
413,thursday,686
413,tuesday,606
413,wednesday,609
423,friday,416
423,monday,377
423,saturday,443
423,sunday,451
423,thursday,405
423,tuesday,421
423,wednesday,398
432,wednesday,1
511,monday,1
520,friday,446
520,monday,381
520,saturday,313
520,sunday,255
520,thursday,378
520,tuesday,410
520,wednesday,402
521,friday,91
521,monday,107
521,saturday,101
521,sunday,77
521,thursday,97
521,tuesday,83
521,wednesday,105
522,friday,382
522,monday,363
522,saturday,305
522,sunday,280
522,thursday,357
522,tuesday,313
522,wednesday,359
527,tuesday,1
530,monday,1
540,friday,130
540,monday,139
540,saturday,139
540,sunday,127
540,thursday,126
540,tuesday,129
540,wednesday,124
541,friday,18
541,monday,13
541,saturday,19
541,sunday,17
541,thursday,10
541,tuesday,17
541,wednesday,18
542,friday,47
542,monday,57
542,saturday,45
542,sunday,43
542,thursday,30
542,tuesday,41
542,wednesday,47
547,monday,1
560,friday,49
560,monday,52
560,saturday,37
560,sunday,26
560,thursday,25
560,tuesday,28
560,wednesday,32
561,friday,9
561,monday,4
561,saturday,5
561,sunday,3
561,thursday,6
561,tuesday,7
561,wednesday,7
562,friday,28
562,monday,27
562,saturday,17
562,sunday,25
562,thursday,20
562,tuesday,27
562,wednesday,27
611,friday,86
611,monday,62
611,saturday,78
611,sunday,67
611,thursday,46
611,tuesday,56
611,wednesday,60
612,friday,27
612,monday,28
612,saturday,28
612,sunday,30
612,thursday,25
612,tuesday,27
612,wednesday,23
613,friday,1112
613,monday,1145
613,saturday,1122
613,sunday,944
613,thursday,1186
613,tuesday,1234
613,wednesday,1210
614,friday,1286
614,monday,1197
614,saturday,1373
614,sunday,1368
614,thursday,1237
614,tuesday,1217
614,wednesday,1216
615,friday,313
615,monday,263
615,saturday,236
615,sunday,267
615,thursday,290
615,tuesday,292
615,wednesday,290
616,friday,344
616,monday,324
616,saturday,275
616,sunday,313
616,thursday,336
616,tuesday,316
616,wednesday,360
617,friday,1446
617,monday,1291
617,saturday,1259
617,sunday,1062
617,thursday,1346
617,tuesday,1342
617,wednesday,1328
618,friday,3
618,monday,3
618,saturday,2
618,sunday,1
618,thursday,3
618,tuesday,2
618,wednesday,2
619,friday,935
619,monday,877
619,saturday,840
619,sunday,661
619,thursday,894
619,tuesday,898
619,wednesday,865
623,monday,1
623,wednesday,1
624,tuesday,1
627,friday,1
629,friday,1
629,sunday,1
633,friday,2
633,monday,1
633,sunday,1
634,monday,1
637,friday,1
639,friday,1
670,friday,13
670,monday,4
670,saturday,9
670,sunday,12
670,thursday,8
670,tuesday,10
670,wednesday,11
706,friday,117
706,monday,121
706,saturday,95
706,sunday,105
706,thursday,146
706,tuesday,124
706,wednesday,107
714,saturday,1
724,friday,519
724,monday,512
724,saturday,530
724,sunday,572
724,thursday,507
724,tuesday,494
724,wednesday,496
727,friday,65
727,monday,57
727,saturday,50
727,sunday,46
727,thursday,65
727,tuesday,54
727,wednesday,66
735,friday,162
735,monday,148
735,saturday,115
735,sunday,121
735,thursday,173
735,tuesday,165
735,wednesday,167
770,saturday,1
770,sunday,1
801,friday,141
801,monday,130
801,saturday,136
801,sunday,120
801,thursday,146
801,tuesday,137
801,wednesday,152
802,friday,2222
802,monday,1916
802,saturday,2267
802,sunday,2351
802,thursday,2008
802,tuesday,1993
802,wednesday,2042
803,thursday,1
803,wednesday,2
804,friday,11
804,monday,16
804,saturday,7
804,sunday,7
804,thursday,7
804,tuesday,8
804,wednesday,6
900,friday,14
900,monday,14
900,saturday,13
900,sunday,16
900,thursday,17
900,tuesday,10
900,wednesday,10
